synset,word,Source,POS,low_count,medium_count,high_count
42,clean,G,ADJ,3,39,19
42,neat,R,ADJ,0,0,0
43,crazy,G,ADJ,3,32,20
43,insane,R,ADJ,0,3,2
44,dumb,G,ADJ,0,1,1
44,stupid,R,ADJ,5,32,14
45,eager,G,VERB,0,0,0
45,keen,R,VERB,0,0,0
46,end,G,VERB,3,40,70
46,finish,R,VERB,8,89,28
47,fast,G,ADJ,7,68,60
47,quick,G,ADJ,1,10,16
47,rapid,R,ADJ,1,7,13
48,fear,G,NOUN,5,39,22
48,fright,G,NOUN,0,0,0
48,horror,R,NOUN,0,0,1
48,terror,R,NOUN,0,2,1
49,abandon,R,VERB,0,5,9
49,forsake,G,VERB,0,0,0
50,amiable,R,ADJ,0,0,0
50,friendly,G,ADJ,2,11,24
51,complete,R,ADJ,8,55,60
51,full,G,ADJ,10,85,100
52,amusing,R,ADJ,0,2,2
52,funny,G,ADJ,10,40,11
53,glance,R,NOUN,0,3,7
53,glimpse,G,NOUN,0,1,0
54,aim,R,NOUN,3,46,44
54,goal,G,NOUN,13,178,179
55,assure,R,VERB,1,16,14
55,guarantee,G,VERB,0,4,8
56,difficult,R,ADJ,53,311,213
56,hard,G,ADJ,13,134,139
57,damage,R,VERB,0,26,13
57,harm,G,VERB,0,9,5
58,despise,R,VERB,0,1,0
58,hate,G,VERB,2,10,17
59,aid,R,VERB,0,2,1
59,assist,R,VERB,1,10,5
59,help,G,VERB,180,1110,779
60,conceal,R,VERB,0,1,0
60,hide,G,VERB,2,39,23
61,enormous,R,ADJ,2,12,14
61,huge,G,ADJ,5,98,99
62,keep,G,VERB,25,213,194
62,maintain,R,VERB,2,18,18
63,gracious,R,ADJ,0,0,0
63,kind,G,ADJ,2,3,5
64,depart,R,VERB,0,0,1
64,leave,G,VERB,10,120,142
65,loudly,G,ADV,0,1,0
65,noisily,R,ADV,0,0,1
66,error,R,NOUN,1,15,13
66,mistake,G,NOUN,3,80,67
67,ancient,R,ADJ,2,17,17
67,old,G,ADJ,141,1196,1085
68,bizarre,R,ADJ,0,0,1
68,peculiar,R,ADJ,0,6,8
68,queer,G,ADJ,0,0,0
68,weird,G,ADJ,0,7,2
69,arrive,R,VERB,18,84,27
69,reach,G,VERB,10,239,194
70,detach,R,VERB,0,0,0
70,remove,G,VERB,0,3,8
71,search,R,VERB,5,32,23
71,seek,G,VERB,1,19,18
72,display,R,VERB,1,3,23
72,show,G,VERB,38,532,406
73,mute,R,ADJ,0,0,0
73,soundless,G,ADJ,0,0,0
74,reliable,R,ADJ,0,13,15
74,trustworthy,G,ADJ,0,0,0
75,loyal,R,ADJ,1,2,1
75,trusty,G,ADJ,0,1,0
76,hideous,R,ADJ,0,0,0
76,ugly,G,ADJ,1,3,2
77,incredible,R,ADJ,4,22,27
77,unbelievable,G,ADJ,0,4,6
78,entire,R,ADJ,1,28,35
78,whole,G,ADJ,4,83,103
79,excellent,R,ADJ,3,29,13
79,fantastic,R,ADJ,2,35,12
79,great,G,ADJ,25,358,375
79,wonderful,G,ADJ,3,40,22
80,concern,R,VERB,1,73,61
80,worry,G,VERB,4,53,82
81,admire,R,VERB,0,16,16
81,worship,G,VERB,0,0,2
82,demolish,R,VERB,0,1,0
82,destroy,R,VERB,8,29,13
82,wreck,G,VERB,0,0,0
83,FALSE,R,ADJ,0,0,0
83,incorrect,R,ADJ,2,5,2
83,untrue,G,ADJ,0,1,4
83,wrong,G,ADJ,20,101,73
84,discover,R,VERB,9,200,178
84,find,G,VERB,84,725,528
85,ban,G,VERB,0,4,8
85,forbid,G,VERB,2,13,14
85,prohibit,R,VERB,0,2,3
86,forgive,G,VERB,0,1,4
86,pardon,R,VERB,0,0,0
87,former,G,ADJ,0,8,19
87,previous,R,ADJ,4,33,42
88,freedom,G,NOUN,4,55,67
88,liberty,R,NOUN,3,8,19
89,enjoyment,R,NOUN,0,24,23
89,fun,G,NOUN,9,133,88
90,acquire,R,VERB,0,29,53
90,gain,G,VERB,2,47,92
90,obtain,R,VERB,13,74,80
91,chivalrous,R,ADJ,0,0,0
91,gallant,G,ADJ,0,0,0
92,garbage,G,NOUN,0,2,4
92,rubbish,R,NOUN,0,3,1
92,trash,G,NOUN,0,1,1
93,collect,R,VERB,0,16,15
93,gather,G,VERB,1,12,21
94,cap,R,NOUN,0,2,0
94,hat,G,NOUN,0,2,1
95,own,G,VERB,1,44,52
95,possess,R,VERB,1,5,15
96,final,R,ADJ,5,46,34
96,last,G,ADJ,34,246,211
96,ultimate,R,ADJ,0,1,8
97,learn,G,VERB,187,1542,1322
97,study,R,VERB,79,640,420
98,fortunate,R,ADJ,1,1,2
98,lucky,G,ADJ,2,19,17
99,distress,R,NOUN,0,1,1
99,hardship,G,NOUN,0,1,4
99,misery,R,NOUN,0,3,3
99,suffering,G,NOUN,0,2,4
100,happen,G,VERB,35,310,270
100,occur,R,VERB,5,69,76
101,push,R,VERB,1,38,29
101,shove,G,VERB,0,0,0
102,elevator,R,NOUN,0,0,1
102,lift,G,NOUN,0,1,0
103,regret,G,VERB,0,12,11
103,remorse,R,VERB,0,0,0
104,comment,R,NOUN,1,5,4
104,remark,G,NOUN,0,0,2
105,carpet,R,NOUN,0,2,5
105,rug,G,NOUN,0,0,1
106,shop,G,NOUN,4,39,29
106,store,R,NOUN,2,44,17
107,divide,R,VERB,3,15,9
107,split,G,VERB,0,5,2
108,attempt,R,VERB,0,6,5
108,try,G,VERB,126,1211,842
109,nervous,R,ADJ,1,2,3
109,restless,G,ADJ,0,1,0
110,illegal,R,ADJ,1,5,2
110,unlawful,G,ADJ,0,0,0
111,value,R,NOUN,20,69,121
111,worth,G,NOUN,0,1,5
112,feeble,R,ADJ,0,0,0
112,weak,G,ADJ,1,16,11
113,triumph,R,NOUN,0,0,2
113,victory,R,NOUN,1,1,2
113,win,G,NOUN,0,3,6
114,author,R,NOUN,0,7,19
114,writer,G,NOUN,0,7,15
115,annual,R,ADJ,0,2,2
115,yearly,G,ADJ,0,0,0
116,powerful,R,ADJ,1,17,27
116,strong,G,ADJ,10,117,129
117,delivery,R,NOUN,0,0,5
117,shipment,G,NOUN,0,0,0
118,breakable,G,ADJ,0,0,0
118,fragile,R,ADJ,0,2,2
119,artificial,R,ADJ,0,4,6
119,fake,G,ADJ,1,10,10
120,brief,R,ADJ,0,6,7
120,short,G,ADJ,6,107,97
121,beneficial,R,ADJ,0,6,15
121,helpful,G,ADJ,5,42,26
122,busy,G,VERB,0,0,0
122,occupy,R,VERB,0,7,5
123,buy,G,VERB,109,801,436
123,purchase,R,VERB,0,8,39
124,idle,G,ADJ,0,1,0
124,inactive,R,ADJ,0,0,0
125,enough,G,ADJ,30,201,184
125,sufficient,R,ADJ,2,20,13
126,considerate,R,ADJ,1,3,0
126,thoughtful,G,ADJ,0,0,0
127,grieve,R,VERB,0,0,0
127,mourn,G,VERB,0,1,0
128,legible,G,ADJ,0,0,0
128,readable,R,ADJ,0,0,0
129,evil,G,ADJ,0,0,0
129,malicious,R,ADJ,0,0,0
130,militant,R,ADJ,0,0,0
130,warlike,G,ADJ,0,0,0
131,boring,G,ADJ,0,58,42
131,dull,G,ADJ,1,0,4
131,tedious,R,ADJ,0,0,2
131,uninteresting,R,ADJ,0,1,0
132,sight,G,NOUN,1,15,11
132,vision,R,NOUN,5,52,32
133,odour,R,NOUN,0,0,0
133,scent,R,NOUN,0,1,0
133,smell,G,NOUN,1,3,4
134,meadow,G,NOUN,0,0,0
134,pasture,R,NOUN,0,0,0
135,deadly,G,ADJ,0,1,1
135,mortal,R,ADJ,0,3,3
136,exhausted,R,ADJ,0,5,0
136,tired,G,ADJ,7,41,22
137,chat,G,NOUN,0,1,0
137,conversation,R,NOUN,3,47,45
137,discussion,R,NOUN,2,24,34
138,chief,R,NOUN,0,2,2
138,leader,G,NOUN,1,26,33
139,comprehend,R,VERB,0,14,16
139,understand,G,VERB,158,1289,1194
140,hurdle,G,NOUN,0,0,2
140,obstacle,R,NOUN,0,13,13
141,frequently,R,ADV,0,15,18
141,often,G,ADV,32,318,351
142,flawless,G,ADJ,0,0,0
142,perfect,R,ADJ,7,84,86
143,defect,R,NOUN,0,2,4
143,flaw,G,NOUN,0,0,9
144,unbounded,G,ADJ,0,0,0
144,unlimited,R,ADJ,0,5,6
145,early,G,ADJ,2,25,30
145,premature,R,ADJ,0,0,0
146,likely,G,ADV,2,7,15
146,probable,R,ADV,0,0,0
147,hopeful,G,ADJ,0,0,3
147,optimistic,R,ADJ,1,7,9
148,extraordinary,R,ADJ,0,9,8
148,outstanding,G,ADJ,0,6,8
149,lessen,G,VERB,0,1,2
149,reduce,R,VERB,13,136,107
150,reluctant,R,ADJ,0,1,4
150,unwilling,G,ADJ,0,1,1
151,resist,R,VERB,2,9,2
151,withstand,G,VERB,0,0,0
152,retreat,R,VERB,0,1,0
152,withdraw,G,VERB,0,1,0
153,identical,R,ADJ,0,0,1
153,same,G,ADJ,86,741,531
154,meaningful,G,ADJ,0,1,2
154,significant,R,ADJ,0,12,21
155,stable,R,ADJ,0,6,6
155,steady,G,ADJ,0,1,4
156,quake,G,VERB,0,0,0
156,quiver,G,VERB,0,0,0
156,shake,G,VERB,0,0,0
156,tremble,R,VERB,0,0,0
156,vibrate,R,VERB,0,0,0
157,apex,R,NOUN,0,0,0
157,peak,G,NOUN,0,4,6
157,pinnacle,R,NOUN,0,0,0
157,summit,R,NOUN,0,1,1
157,top,G,NOUN,8,26,17
158,mug,G,VERB,0,0,0
158,rob,R,VERB,1,0,2
159,impermeable,R,ADJ,0,1,0
159,sealed,G,ADJ,0,1,0
160,barely,G,ADV,0,9,6
160,hardly,G,ADV,1,16,29
160,scarcely,R,ADV,0,1,1
161,childish,G,ADJ,0,0,0
161,immature,R,ADJ,0,0,1
161,infantile,R,ADJ,0,0,0
161,juvenile,R,ADJ,0,0,0
162,cord,R,NOUN,0,0,0
162,string,G,NOUN,0,1,5
162,thread,G,NOUN,0,1,1
163,contour,R,NOUN,0,0,1
163,outline,G,NOUN,0,0,0
164,deceive,R,VERB,0,9,3
164,mislead,G,VERB,0,8,14
165,ache,G,NOUN,0,0,0
165,pain,R,NOUN,0,11,12
166,enlighten,G,ADJ,0,0,0
166,illuminate,R,ADJ,0,0,0
167,divine,R,ADJ,0,0,0
167,godlike,G,ADJ,0,0,0
168,holy,G,ADJ,0,0,0
168,sacred,R,ADJ,0,0,0
169,mumble,G,VERB,0,0,0
169,murmur,R,VERB,0,0,0
169,mutter,G,VERB,0,0,0
170,hue,G,NOUN,0,1,0
170,tint,R,NOUN,0,0,0
171,color,R,NOUN,7,33,21
171,colour,R,NOUN,3,13,18
171,dye,G,NOUN,0,0,0
172,oath,G,NOUN,0,0,0
172,vow,R,NOUN,0,0,0
173,heaven,G,NOUN,0,0,0
173,paradise,R,NOUN,0,0,1
174,fairness,G,NOUN,0,0,1
174,impartiality,R,NOUN,0,0,0
175,outskirts,G,NOUN,0,0,0
175,suburb,R,NOUN,0,4,10
176,global,R,ADJ,5,55,57
176,worldwide,G,ADJ,0,7,4
177,almost,G,ADV,12,116,115
177,nearly,G,ADV,0,14,16
177,virtually,R,ADV,0,3,6
178,doable,G,ADJ,0,0,0
178,possible,R,ADJ,37,323,277
179,lagoon,R,NOUN,0,0,0
179,lake,G,NOUN,0,8,1
180,balcony,G,NOUN,0,0,0
180,porch,R,NOUN,0,0,0
181,kingly,G,ADJ,0,0,0
181,majestic,R,ADJ,0,0,0
181,royal,R,ADJ,0,0,0
182,broth,G,NOUN,0,0,0
182,soup,R,NOUN,0,0,1
183,baseless,R,ADJ,0,0,0
183,groundless,G,ADJ,0,0,0
184,prostitute,R,NOUN,0,0,0
184,whore,G,NOUN,0,0,0
185,speed,G,NOUN,5,19,14
185,velocity,R,NOUN,0,1,2
186,beach,G,NOUN,0,20,19
186,coast,R,NOUN,0,0,1
186,shore,R,NOUN,0,1,0
187,alien,R,NOUN,0,0,1
187,outsider,G,NOUN,0,1,1
188,compress,R,VERB,0,0,1
188,squeeze,G,VERB,0,0,1
189,conspire,R,VERB,0,0,0
189,plot,G,VERB,0,0,0
189,scheme,R,VERB,0,0,0
190,build,G,VERB,14,130,108
190,construct,R,VERB,3,12,11
191,careful,G,ADJ,1,20,15
191,cautious,R,ADJ,0,1,2
192,gifted,G,ADJ,0,1,0
192,talented,R,ADJ,2,1,1
193,form,R,NOUN,9,38,43
193,shape,G,NOUN,1,20,25
194,lean,G,VERB,2,3,3
194,rely,R,VERB,0,18,57
195,battle,R,NOUN,2,11,12
195,combat,R,NOUN,0,0,3
195,fight,G,NOUN,2,7,8
196,deficiency,G,NOUN,0,1,1
196,insufficiency,R,NOUN,0,0,0
196,lack,G,NOUN,3,83,90
196,shortage,R,NOUN,0,0,4
197,dot,G,NOUN,0,1,0
197,point,R,NOUN,48,535,439
198,embrace,R,VERB,0,0,9
198,hug,G,VERB,0,0,1
199,schedule,R,NOUN,1,59,66
199,timetable,G,NOUN,0,4,3
200,currently,R,ADV,1,18,33
200,now,G,ADV,75,529,295
200,nowadays,G,ADV,41,434,306
200,presently,R,ADV,0,5,2
201,offer,G,NOUN,2,10,8
201,proposal,R,NOUN,0,2,4
202,diverse,R,ADJ,0,13,16
202,manifold,G,ADJ,0,0,0
203,blow,G,VERB,0,1,2
203,exhale,R,VERB,0,0,0
203,puff,G,VERB,0,0,0
204,simple,R,ADJ,21,102,93
204,straightforward,G,ADJ,0,0,2
205,baby,G,NOUN,3,20,12
205,infant,R,NOUN,0,0,0
206,ball,G,NOUN,0,4,2
206,globe,R,NOUN,0,2,5
206,sphere,R,NOUN,0,2,4
207,emotion,R,NOUN,4,35,20
207,feeling,G,NOUN,7,83,79
208,excitement,R,NOUN,0,1,8
208,thrill,G,NOUN,0,3,3
209,through,G,ADJ,0,0,0
209,via,R,ADJ,0,0,0
210,although,G,SCONJ,4,108,133
210,despite,R,SCONJ,3,23,23
211,commerce,R,NOUN,0,7,4
211,trade,G,NOUN,0,14,5
212,blockade,G,NOUN,0,0,0
212,siege,R,NOUN,0,0,0
213,ghost,G,NOUN,0,1,0
213,spirit,R,NOUN,3,26,27
214,alike,G,ADJ,0,0,0
214,similar,R,ADJ,6,45,56
215,blouse,R,NOUN,0,0,0
215,shirt,G,NOUN,1,7,4
216,potato,R,NOUN,0,3,1
216,spud,G,NOUN,0,0,0
217,guide,G,NOUN,48,607,619
217,instructor,R,NOUN,0,2,6
218,audience,R,NOUN,0,15,6
218,crowd,G,NOUN,0,3,11
219,enigma,R,NOUN,0,0,0
219,riddle,G,NOUN,0,0,1
220,disgrace,R,NOUN,0,0,0
220,shame,G,NOUN,0,7,3
221,heap,G,NOUN,0,0,0
221,pile,R,NOUN,0,0,0
222,double,R,ADJ,0,9,10
222,dual,R,ADJ,0,1,1
222,twofold,G,ADJ,0,0,0
223,goods,G,NOUN,0,0,0
223,merchandise,R,NOUN,0,0,1
224,bewildered,G,ADJ,0,0,1
224,confused,R,ADJ,0,5,4
225,missile,R,NOUN,0,0,0
225,rocket,G,NOUN,0,0,0
226,arc,R,NOUN,0,0,0
226,bow,G,NOUN,0,0,1
227,disregard,R,VERB,0,0,2
227,ignore,R,VERB,0,13,20
227,overlook,G,VERB,0,1,3
227,unmind,G,VERB,0,0,0
228,oral,R,ADJ,0,0,6
228,spoken,G,ADJ,0,0,0
228,verbal,R,ADJ,0,0,0
229,sink,G,VERB,0,2,2
229,submerge,R,VERB,0,0,0
230,comment,R,VERB,0,2,2
230,remark,G,VERB,0,6,4
231,concern,R,NOUN,4,34,38
231,worry,G,NOUN,3,23,12
232,busy,G,ADJ,2,32,23
232,occupied,R,ADJ,0,0,0
233,chat,G,VERB,1,5,3
233,converse,R,VERB,0,0,1
234,aid,R,NOUN,0,9,7
234,help,G,NOUN,24,142,89
235,fortune,R,NOUN,1,17,5
235,luck,G,NOUN,7,13,10
